index,country,surveyelapse,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GS11,GS12,VCL1,VCL2,VCL3,VCL4,VCL5,VCL7,VCL8,VCL10,VCL11,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,operatingsystem,browser,introelapse,testelapse,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Grit,highgrit
32,US,129,4,4,4,4,4,4,4,4,4,4,3,4,1,0,0,0,1,0,0,1,0,0,0,1,1,High school,Urban,Female,Yes,19,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,Yes,Never married,2,3,3,3,4,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,4,2,4,4,4,3,4,3,Windows,Chrome,2,406,3.3,3.5,3.5,3.4,3.4,3.9166666666666665,1
33,AE,174,4,3,1,2,1,4,1,2,3,4,1,4,0,1,0,0,1,0,0,1,0,1,0,0,0,University,Rural,Female,No,44,Right,Christian (Protestant),Bisexual,Asian,No,Previously married,3,3,5,3,3,3,4,3,2,3,3,3,3,4,2,4,1,2,2,2,3,5,5,4,5,3,4,4,2,5,4,3,1,4,3,2,3,2,3,3,3,3,3,4,4,3,5,3,4,4,3,Windows,Chrome,4,212,3.2,2.6,4.1,2.7,3.6,2.5,0
35,US,99,4,2,2,3,2,4,2,3,4,2,2,4,1,1,0,1,1,0,1,1,0,0,1,1,1,High school,Rural,Female,Yes,18,Right,Christian (Catholic),Heterosexual,Asian,No,Never married,3,1,2,3,3,2,3,1,2,3,1,2,3,1,2,4,3,3,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,5,4,4,4,5,4,4,4,4,5,4,Macintosh,Chrome,4,105,2.1,2.4,4.0,3.6,4.2,2.8333333333333335,0
36,IN,274,2,5,5,3,5,5,5,5,5,3,4,4,1,0,1,1,1,0,0,1,0,0,1,1,1,Graduate,Urban,Female,No,25,Right,Hindu,Heterosexual,Asian,Yes,Currently married,3,4,4,1,2,2,4,2,2,2,2,4,1,1,3,2,2,4,2,2,3,1,4,5,4,5,4,5,3,5,5,2,5,4,3,3,5,1,3,4,3,1,4,5,2,3,5,4,4,3,4,Windows,Chrome,8,244,2.5,2.4,4.1,3.3,3.5,4.25,1
38,US,161,4,3,1,3,1,3,1,2,2,3,2,3,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Urban,Male,No,21,Left,Agnostic,Heterosexual,Arab,No,Never married,2,4,5,4,5,5,5,4,5,5,3,2,2,1,3,2,1,2,4,2,2,4,5,2,2,4,4,4,4,1,2,1,1,3,1,1,1,1,3,2,2,4,5,5,4,4,5,5,3,4,5,iOS,ChromeiOS,21,191,4.5,2.1,3.2,1.6,4.4,2.3333333333333335,0
39,GB,88,3,4,4,2,2,4,4,5,5,5,1,5,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Urban,Male,Yes,23,Left,Christian (Other),Heterosexual,Indigenous/Native/White,No,Currently married,6,5,5,5,5,5,5,5,5,5,2,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Windows,Chrome,716,96,4.7,2.2,5.0,5.0,5.0,3.6666666666666665,1
40,PK,202,2,2,1,5,1,4,1,2,4,1,3,3,1,0,0,1,1,0,0,1,0,0,0,1,1,University,Urban,Female,No,20,Right,Muslim,Asexual,Asian,No,Never married,4,1,1,2,1,1,1,1,5,1,1,4,5,4,5,1,4,1,3,2,3,3,4,5,4,3,3,4,5,2,4,4,5,2,3,2,2,2,2,1,5,2,2,5,2,2,1,5,1,1,2,Linux,Chrome,12,159,1.5,3.2,3.7,2.8,2.3,2.4166666666666665,0
41,BG,169,4,2,3,5,3,4,4,2,3,2,2,5,1,1,1,1,1,0,1,1,0,0,1,1,1,High school,Urban,Male,No,20,Right,Other,Bisexual,Indigenous/Native/White,No,Never married,1,3,3,3,3,4,5,4,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,3,3,4,3,5,3,5,3,2,4,1,4,4,4,4,5,5,5,4,4,5,5,5,5,4,4,Windows,Chrome,10,205,3.9,4.7,4.1,3.6,4.6,3.25,0
43,BH,395,5,4,2,5,3,5,4,5,5,5,4,4,0,0,0,0,1,1,0,1,0,0,1,0,1,University,Urban,Female,No,20,Left,Muslim,,Arab,No,Never married,4,3,3,4,1,5,1,2,5,5,1,1,5,1,3,1,1,1,3,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,3,4,5,4,5,5,5,2,3,5,iOS,Safari,8,202,3.0,2.2,4.2,4.7,4.1,4.25,1
45,CA,212,4,1,2,3,1,4,1,1,2,3,3,3,1,1,1,1,1,0,0,1,0,1,1,1,1,High school,,Male,Yes,21,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Never married,1,1,3,3,1,1,3,2,1,1,1,2,3,1,3,3,4,3,5,3,4,3,2,5,4,4,3,3,4,3,4,2,1,4,1,1,2,4,3,3,4,5,4,5,4,4,5,5,5,5,5,Windows,Chrome,10,176,1.7,3.1,3.5,2.5,4.7,2.3333333333333335,0
46,GB,104,5,3,4,4,3,5,4,5,5,5,4,5,1,1,1,1,1,1,0,1,1,1,1,1,1,University,Suburban,Female,Yes,30,Right,Christian (Other),Heterosexual,Indigenous/Native/White,No,Currently married,4,3,4,3,3,4,4,3,2,2,1,3,4,2,4,3,3,4,4,3,4,5,4,3,4,4,5,4,4,4,4,4,3,5,4,3,3,5,5,4,4,4,4,4,4,3,4,4,3,4,3,Windows,Microsoft Internet Explorer,76,122,2.9,3.4,4.1,4.0,3.7,4.333333333333333,1
54,ZA,491,3,2,3,2,1,2,3,1,2,2,4,2,1,1,0,1,1,0,0,1,0,1,1,1,1,University,Urban,Male,Yes,36,Right,Agnostic,Heterosexual,Indigenous/Native/White,Yes,Currently married,3,2,3,2,3,3,4,2,3,3,2,2,2,2,2,4,2,2,3,2,2,4,4,3,3,2,2,3,3,2,3,4,2,5,3,2,2,3,3,5,3,3,5,5,4,3,1,5,3,5,4,Windows,Chrome,57,225,2.7,2.3,2.9,3.2,3.8,2.25,0
55,US,207,5,2,4,5,4,5,5,4,5,5,4,5,1,1,1,1,1,1,1,1,0,1,1,1,1,Graduate,,Female,No,47,Right,Agnostic,Heterosexual,Other,Yes,Currently married,3,3,5,1,5,5,5,5,3,4,5,4,3,3,3,4,3,4,5,3,4,4,1,5,3,2,3,5,4,3,5,5,5,4,5,5,5,5,5,5,4,3,5,3,5,4,4,5,1,3,4,Windows,Chrome,12,786,4.1,3.6,3.5,4.8,3.7,4.416666666666667,1
57,SE,130,4,2,3,3,2,5,2,2,2,2,2,3,1,1,0,1,1,0,1,1,0,0,1,1,1,University,Rural,Male,No,22,Left,Other,Heterosexual,Indigenous/Native/White,Yes,Never married,1,4,4,3,3,3,4,5,3,5,2,1,3,2,1,1,1,1,1,1,1,2,4,2,3,3,3,3,3,4,5,3,5,5,2,1,1,5,3,1,4,5,4,5,5,5,5,5,5,5,5,Macintosh,Chrome,5,161,3.6,1.3,3.2,3.0,4.9,2.6666666666666665,0
59,DK,166,3,2,4,3,1,2,2,1,2,1,3,4,1,1,0,1,1,0,1,1,0,0,1,1,1,University,Suburban,Female,No,25,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Never married,1,4,5,3,4,5,5,3,3,4,4,1,1,1,1,2,1,1,2,2,2,5,5,1,5,4,5,5,5,4,3,4,3,4,4,1,5,5,4,2,5,4,5,5,4,4,5,4,3,5,4,Macintosh,Chrome,13,251,4.0,1.4,4.2,3.7,4.3,2.3333333333333335,0
60,IN,1317,5,3,3,2,3,2,5,1,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,Graduate,Urban,Female,Yes,26,Right,Agnostic,Heterosexual,Asian,No,Never married,3,2,3,3,2,3,4,3,2,4,3,1,2,2,2,1,1,1,2,4,2,3,4,3,5,3,5,3,2,4,3,1,2,4,2,1,1,3,2,1,3,3,5,4,5,4,4,5,3,5,4,Macintosh,Chrome,18,203,2.9,1.8,3.5,2.0,4.2,2.6666666666666665,0
61,BH,326,5,3,4,2,3,5,4,5,5,5,3,5,1,1,0,1,1,0,0,1,0,0,0,1,1,University,Urban,Female,No,19,Right,Muslim,Heterosexual,Arab,No,Never married,7,3,5,2,5,5,5,4,5,5,5,3,3,1,2,3,4,1,2,3,4,5,2,5,5,4,5,4,3,5,5,5,1,4,3,4,3,5,5,3,5,4,4,5,4,3,5,5,3,3,4,Windows,Chrome,73,265,4.4,2.6,4.3,3.8,4.0,4.083333333333333,1
62,RO,299,2,3,3,2,3,3,4,4,4,3,3,3,0,1,0,1,1,0,0,1,0,0,1,1,1,University,Urban,Female,No,25,Right,Other,Other,Other,Yes,Never married,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,4,4,4,5,4,3,4,4,4,4,3,3,3,3,4,2,4,3,3,3,3,3,4,4,4,3,3,3,2,5,3,Windows,Chrome,13,276,2.9,3.3,3.9,3.1,3.4,3.0833333333333335,0
64,PK,541,4,4,4,2,3,4,4,4,4,4,2,3,1,0,0,1,1,0,0,1,0,0,0,1,1,Graduate,Urban,Male,No,23,Right,Muslim,Bisexual,Asian,Yes,Never married,5,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,4,3,4,4,3,4,4,4,4,5,2,4,4,2,4,5,4,4,2,3,4,4,5,4,2,4,4,2,4,4,4,4,3,3,4,Windows,Firefox,5,534,3.9,3.5,3.7,3.7,3.6,3.5,1
66,US,149,5,1,2,2,1,4,4,4,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,University,Suburban,Male,Yes,43,Right,Agnostic,Homosexual,Indigenous/Native/White,No,Never married,2,3,5,3,3,3,3,2,3,3,2,1,2,2,1,1,2,2,2,1,1,3,4,3,3,3,4,3,3,3,5,3,1,4,2,2,2,4,3,3,4,4,3,5,5,4,4,3,4,5,5,Macintosh,Chrome,7,162,3.0,1.5,3.4,2.8,4.2,3.25,0
68,IN,380,3,3,2,2,3,2,3,2,4,3,3,5,1,1,0,1,1,0,0,1,0,0,0,1,1,Graduate,Urban,Male,No,23,Right,Muslim,Heterosexual,Asian,No,Never married,4,4,5,4,4,5,5,4,5,5,4,3,4,1,2,3,4,1,1,4,1,4,5,5,5,5,3,5,5,5,5,1,5,4,2,4,3,3,5,2,5,4,5,5,5,5,1,5,3,4,5,Windows,Opera,14,241,4.5,2.4,4.7,3.4,4.2,2.9166666666666665,0
71,US,142,5,3,3,1,1,4,1,1,3,5,2,2,1,0,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,Yes,18,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,4,2,4,2,5,1,5,2,3,5,5,5,4,5,5,5,1,5,3,3,3,5,1,2,1,3,2,5,1,Windows,Microsoft Internet Explorer,6,156,1.0,1.2,3.2,4.3,2.6,2.5833333333333335,0
72,US,150,3,2,3,3,2,2,2,1,2,4,4,2,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Urban,Male,Yes,18,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,2,1,2,3,2,4,3,1,2,2,2,3,3,2,3,3,3,3,3,2,2,5,4,3,5,5,4,4,4,5,3,2,3,5,3,2,3,3,3,4,2,4,4,3,4,4,3,3,5,4,3,Windows,Microsoft Internet Explorer,8,266,2.2,2.7,4.2,3.0,3.7,2.5,0
73,GB,117,2,3,4,2,2,1,3,2,2,4,4,3,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Suburban,Male,Yes,24,Right,Agnostic,Heterosexual,Indigenous/Native/White,No,Never married,5,3,4,4,3,4,4,3,2,3,2,2,4,1,4,5,2,2,2,1,2,4,5,1,4,2,4,2,2,4,5,2,3,4,2,2,2,4,1,4,2,5,4,5,4,4,5,4,2,5,4,Windows,Microsoft Internet Explorer,14,215,3.2,2.5,3.3,2.6,4.2,2.6666666666666665,0
74,IT,205,4,3,1,3,3,3,2,4,1,3,4,3,1,1,1,1,1,0,1,1,0,0,1,1,1,Graduate,Suburban,Male,No,38,Right,Atheist,Heterosexual,Indigenous/Native/White,No,Never married,1,3,4,3,2,3,5,3,2,3,2,2,2,2,1,4,4,2,3,5,1,4,3,5,5,4,5,4,3,5,4,1,3,5,3,3,4,2,2,1,3,5,5,5,5,4,4,5,4,5,4,Windows,Firefox,18,350,3.0,2.6,4.2,2.7,4.6,2.8333333333333335,0
75,US,105,5,3,1,3,4,4,1,3,4,5,2,2,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,Yes,18,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,3,1,2,4,2,2,1,1,1,1,1,3,4,1,3,3,3,2,2,3,3,5,4,4,4,2,5,3,4,5,3,5,5,5,5,5,5,5,2,5,4,2,4,4,2,2,2,4,3,4,3,Windows,Microsoft Internet Explorer,7,134,1.6,2.7,3.9,4.6,3.0,3.0833333333333335,0
78,AR,227,5,2,1,1,1,2,2,1,1,1,1,4,1,1,0,1,1,0,1,1,0,1,1,1,1,High school,Urban,Female,No,25,Left,Atheist,Heterosexual,Indigenous/Native/White,Yes,Never married,4,3,4,1,3,3,5,3,3,5,1,1,3,1,5,1,1,1,1,1,1,3,1,2,3,3,3,3,3,3,5,5,1,5,1,1,1,5,3,1,1,3,1,5,5,5,5,3,3,5,5,Windows,Chrome,5,266,3.1,1.6,2.9,2.4,4.0,1.8333333333333333,0
79,US,222,5,4,5,1,5,5,5,5,4,5,5,5,1,1,1,1,1,0,0,1,0,0,1,1,1,Graduate,Urban,Female,No,40,Right,Hindu,,Asian,No,Currently married,4,3,3,5,3,3,4,4,3,3,3,2,2,1,3,2,4,4,5,3,4,4,3,5,5,3,4,4,4,3,4,4,5,5,5,4,5,4,5,5,4,2,4,1,3,3,4,3,3,3,3,Windows,Chrome,56,384,3.4,3.0,3.9,4.6,2.9,4.5,1
80,US,111,4,2,3,4,5,4,3,5,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,Graduate,Urban,Female,No,30,Left,Christian (Protestant),Heterosexual,Asian,Yes,Never married,2,4,4,4,4,4,4,3,2,4,2,3,4,2,5,4,4,4,5,4,5,5,5,2,5,3,5,4,4,5,5,4,2,3,4,2,3,4,5,4,2,4,3,5,4,4,5,4,4,4,4,Macintosh,Safari,10,162,3.5,4.0,4.3,3.3,4.1,3.8333333333333335,1
82,US,162,4,3,3,3,4,5,4,4,3,3,3,5,1,1,1,1,1,0,1,1,0,0,1,1,1,Graduate,Rural,Female,Yes,62,Right,Christian (Protestant),Heterosexual,Indigenous/Native/White,Yes,Currently married,6,3,4,4,4,4,4,4,2,3,4,4,4,3,4,4,3,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,4,4,5,4,3,4,4,4,3,4,4,Windows,Microsoft Internet Explorer,5,236,3.6,3.8,4.3,3.9,3.9,3.6666666666666665,1
83,US,103,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,High school,Rural,Male,Yes,19,Left,Atheist,Heterosexual,Indigenous/Native/White,No,Never married,4,2,4,4,4,5,5,2,5,5,5,4,2,1,1,2,1,1,1,1,1,4,5,2,4,5,2,5,1,4,4,2,1,1,1,1,1,2,1,1,1,4,4,4,4,4,2,5,4,5,4,ChromeOS,Chrome,3,147,4.1,1.5,3.6,1.2,4.0,1.1666666666666667,0
84,US,128,3,3,4,2,1,5,4,3,5,5,4,5,1,1,1,1,1,0,0,1,0,1,1,1,1,High school,Suburban,Female,Yes,18,Right,Christian (Protestant),Heterosexual,Indigenous/Native/White,No,Never married,3,3,5,5,3,5,5,3,3,4,3,2,3,2,2,3,2,5,5,3,5,5,5,5,5,5,5,5,4,4,4,3,3,4,5,4,5,5,5,5,4,5,4,4,3,5,5,4,4,3,5,ChromeOS,Chrome,5,172,3.9,3.2,4.7,4.3,4.2,3.6666666666666665,1
85,US,193,4,1,2,3,4,5,4,4,4,4,2,4,1,1,0,1,1,0,0,1,0,1,1,1,1,University,Urban,Female,Yes,23,Right,Christian (Other),Heterosexual,Indigenous/Native/White,No,Never married,2,3,3,3,3,2,2,4,5,1,3,2,2,1,3,2,2,3,2,2,3,4,4,4,1,4,5,5,4,4,3,3,3,4,3,3,3,2,3,2,4,3,3,4,3,4,2,4,3,5,3,Macintosh,Chrome,14,211,2.9,2.2,3.8,3.0,3.4,3.4166666666666665,1
