surveyelapse,VCL1,VCL2,VCL3,VCL4,VCL5,VCL7,VCL8,VCL10,VCL11,VCL13,VCL14,VCL15,VCL16,familysize,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,introelapse,testelapse,Grit,highgrit,survey_time_score,vocab_score,married_Currently married,married_Never married,married_Previously married,married_Unknown,browser_AndroidBrowser,browser_Chrome,browser_ChromeiOS,browser_Firefox,browser_Microsoft Internet Explorer,browser_Opera,browser_Safari,browser_SeaMonkey,browser_UCBrowser,browser_Unknown,operatingsystem_Blackberry,operatingsystem_ChromeOS,operatingsystem_Linux,operatingsystem_Macintosh,operatingsystem_Unknown,operatingsystem_Windows,operatingsystem_Windows Phone,operatingsystem_iOS,age_group_18-30,age_group_30-45,age_group_45+
193,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,4,4,3,5,3,2,3,4,4,2,2,1,1,1,2,2,3,3,1,3,5,3,2,5,4,1,5,2,3,444,2.1666666666666665,0,640,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
108,1,1,0,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,4,5,4,2,2,1,2,2,1,2,4,4,2,4,4,2,4,4,4,4,4,4,4,5,4,4,2,1,2,2,1,1,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,110,3.1666666666666665,0,222,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
159,1,1,0,1,0,0,1,1,0,1,1,1,1,2,1,2,3,2,2,3,1,1,2,2,3,4,4,2,2,4,5,5,5,4,4,4,5,5,2,5,4,3,4,4,4,4,3,4,2,3,3,3,1,3,5,5,4,5,4,2,5,4,5,4,11,141,3.0,0,311,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
200,1,1,0,1,1,0,0,1,0,1,1,1,1,3,1,1,2,1,2,2,1,2,2,2,4,5,4,2,4,5,3,4,5,3,1,4,3,2,2,1,2,2,2,2,3,5,5,4,3,4,3,3,2,4,5,5,5,5,4,5,4,4,5,5,5,193,2.75,0,398,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
217,1,1,1,1,1,0,1,1,1,1,1,1,1,2,4,1,3,3,3,4,4,3,3,1,3,4,2,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,3,1,4,2,2,4,4,2,4,3,4,5,4,5,4,4,4,4,5,4,14,261,3.5,1,492,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
168,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,4,4,3,4,4,4,2,4,3,3,4,4,1,3,3,3,4,3,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,2,3,4,3,3,4,4,4,4,2,4,4,4,3,3,4,9,167,3.9166666666666665,1,344,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
227,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,2,3,2,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,3,3,4,3,3,3,5,2,5,4,3,3,5,5,79,328,2.9166666666666665,0,634,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
215,1,1,0,1,1,0,1,1,1,0,1,1,1,2,3,5,4,4,4,4,4,4,4,4,5,4,3,4,3,5,4,4,4,4,4,5,3,3,4,4,4,4,4,4,4,2,4,4,5,4,5,3,4,4,4,4,4,3,4,4,5,4,4,3,367,249,3.6666666666666665,1,831,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
167,1,1,0,1,1,1,0,1,0,1,1,1,1,2,3,2,5,3,2,3,4,3,4,4,3,3,2,3,2,3,4,4,4,4,1,5,5,5,4,5,4,4,5,5,4,5,5,4,3,4,4,4,4,4,2,4,5,4,4,5,5,1,3,5,17,197,3.8333333333333335,1,381,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,1,1,0,1,1,0,1,1,0,0,1,1,1,2,3,2,4,3,2,3,4,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,4,2,4,5,4,5,4,4,4,4,4,4,4,23,165,2.833333333333333,0,338,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
129,1,0,0,0,1,0,0,1,0,0,0,1,1,2,3,3,3,4,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,4,2,4,4,4,3,4,3,2,406,3.9166666666666665,1,537,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
174,0,1,0,0,1,0,0,1,0,1,0,0,0,3,3,5,3,3,3,4,3,2,3,3,3,3,4,2,4,1,2,2,2,3,5,5,4,5,3,4,4,2,5,4,3,1,4,3,2,3,2,3,3,3,3,3,4,4,3,5,3,4,4,3,4,212,2.5,0,390,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
99,1,1,0,1,1,0,1,1,0,0,1,1,1,3,1,2,3,3,2,3,1,2,3,1,2,3,1,2,4,3,3,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,4,5,4,4,4,5,4,4,4,4,5,4,4,105,2.833333333333333,0,208,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
274,1,0,1,1,1,0,0,1,0,0,1,1,1,3,4,4,1,2,2,4,2,2,2,2,4,1,1,3,2,2,4,2,2,3,1,4,5,4,5,4,5,3,5,5,2,5,4,3,3,5,1,3,4,3,1,4,5,2,3,5,4,4,3,4,8,244,4.25,1,526,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
161,1,1,0,1,1,0,0,1,0,1,1,1,1,2,4,5,4,5,5,5,4,5,5,3,2,2,1,3,2,1,2,4,2,2,4,5,2,2,4,4,4,4,1,2,1,1,3,1,1,1,1,3,2,2,4,5,5,4,4,5,5,3,4,5,21,191,2.333333333333333,0,373,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
88,1,1,0,1,1,0,0,1,0,1,1,1,1,6,5,5,5,5,5,5,5,5,5,2,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,716,96,3.6666666666666665,1,900,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
202,1,0,0,1,1,0,0,1,0,0,0,1,1,4,1,1,2,1,1,1,1,5,1,1,4,5,4,5,1,4,1,3,2,3,3,4,5,4,3,3,4,5,2,4,4,5,2,3,2,2,2,2,1,5,2,2,5,2,2,1,5,1,1,2,12,159,2.4166666666666665,0,373,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
169,1,1,1,1,1,0,1,1,0,0,1,1,1,1,3,3,3,3,4,5,4,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,3,3,4,3,5,3,5,3,2,4,1,4,4,4,4,5,5,5,4,4,5,5,5,5,4,4,10,205,3.25,0,384,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
395,0,0,0,0,1,1,0,1,0,0,1,0,1,4,3,3,4,1,5,1,2,5,5,1,1,5,1,3,1,1,1,3,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,3,4,5,4,5,5,5,2,3,5,8,202,4.25,1,605,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
212,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,3,3,1,1,3,2,1,1,1,2,3,1,3,3,4,3,5,3,4,3,2,5,4,4,3,3,4,3,4,2,1,4,1,1,2,4,3,3,4,5,4,5,4,4,5,5,5,5,5,10,176,2.333333333333333,0,398,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
104,1,1,1,1,1,1,0,1,1,1,1,1,1,4,3,4,3,3,4,4,3,2,2,1,3,4,2,4,3,3,4,4,3,4,5,4,3,4,4,5,4,4,4,4,4,3,5,4,3,3,5,5,4,4,4,4,4,4,3,4,4,3,4,3,76,122,4.333333333333333,1,302,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
491,1,1,0,1,1,0,0,1,0,1,1,1,1,3,2,3,2,3,3,4,2,3,3,2,2,2,2,2,4,2,2,3,2,2,4,4,3,3,2,2,3,3,2,3,4,2,5,3,2,2,3,3,5,3,3,5,5,4,3,1,5,3,5,4,57,225,2.25,0,773,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
207,1,1,1,1,1,1,1,1,0,1,1,1,1,3,3,5,1,5,5,5,5,3,4,5,4,3,3,3,4,3,4,5,3,4,4,1,5,3,2,3,5,4,3,5,5,5,4,5,5,5,5,5,5,4,3,5,3,5,4,4,5,1,3,4,12,786,4.416666666666667,1,1005,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,1,1,0,1,1,0,1,1,0,0,1,1,1,1,4,4,3,3,3,4,5,3,5,2,1,3,2,1,1,1,1,1,1,1,2,4,2,3,3,3,3,3,4,5,3,5,5,2,1,1,5,3,1,4,5,4,5,5,5,5,5,5,5,5,5,161,2.6666666666666665,0,296,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
166,1,1,0,1,1,0,1,1,0,0,1,1,1,1,4,5,3,4,5,5,3,3,4,4,1,1,1,1,2,1,1,2,2,2,5,5,1,5,4,5,5,5,4,3,4,3,4,4,1,5,5,4,2,5,4,5,5,4,4,5,4,3,5,4,13,251,2.333333333333333,0,430,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1317,1,1,0,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,4,3,2,4,3,1,2,2,2,1,1,1,2,4,2,3,4,3,5,3,5,3,2,4,3,1,2,4,2,1,1,3,2,1,3,3,5,4,5,4,4,5,3,5,4,18,203,2.6666666666666665,0,1538,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
326,1,1,0,1,1,0,0,1,0,0,0,1,1,7,3,5,2,5,5,5,4,5,5,5,3,3,1,2,3,4,1,2,3,4,5,2,5,5,4,5,4,3,5,5,5,1,4,3,4,3,5,5,3,5,4,4,5,4,3,5,5,3,3,4,73,265,4.083333333333333,1,664,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
299,0,1,0,1,1,0,0,1,0,0,1,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,4,4,4,5,4,3,4,4,4,4,3,3,3,3,4,2,4,3,3,3,3,3,4,4,4,3,3,3,2,5,3,13,276,3.083333333333333,0,588,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
541,1,0,0,1,1,0,0,1,0,0,0,1,1,5,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,4,3,4,4,3,4,4,4,4,5,2,4,4,2,4,5,4,4,2,3,4,4,5,4,2,4,4,2,4,4,4,4,3,3,4,5,534,3.5,1,1080,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
149,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,3,3,3,3,2,3,3,2,1,2,2,1,1,2,2,2,1,1,3,4,3,3,3,4,3,3,3,5,3,1,4,2,2,2,4,3,3,4,4,3,5,5,4,4,3,4,5,5,7,162,3.25,0,318,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
380,1,1,0,1,1,0,0,1,0,0,0,1,1,4,4,5,4,4,5,5,4,5,5,4,3,4,1,2,3,4,1,1,4,1,4,5,5,5,5,3,5,5,5,5,1,5,4,2,4,3,3,5,2,5,4,5,5,5,5,1,5,3,4,5,14,241,2.9166666666666665,0,635,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
142,1,0,0,1,1,0,0,1,0,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,4,2,4,2,5,1,5,2,3,5,5,5,4,5,5,5,1,5,3,3,3,5,1,2,1,3,2,5,1,6,156,2.583333333333333,0,304,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,1,1,0,1,1,0,0,1,0,1,1,1,1,2,1,2,3,2,4,3,1,2,2,2,3,3,2,3,3,3,3,3,2,2,5,4,3,5,5,4,4,4,5,3,2,3,5,3,2,3,3,3,4,2,4,4,3,4,4,3,3,5,4,3,8,266,2.5,0,424,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
117,1,1,0,1,1,0,0,1,0,0,1,1,1,5,3,4,4,3,4,4,3,2,3,2,2,4,1,4,5,2,2,2,1,2,4,5,1,4,2,4,2,2,4,5,2,3,4,2,2,2,4,1,4,2,5,4,5,4,4,5,4,2,5,4,14,215,2.6666666666666665,0,346,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
205,1,1,1,1,1,0,1,1,0,0,1,1,1,1,3,4,3,2,3,5,3,2,3,2,2,2,2,1,4,4,2,3,5,1,4,3,5,5,4,5,4,3,5,4,1,3,5,3,3,4,2,2,1,3,5,5,5,5,4,4,5,4,5,4,18,350,2.833333333333333,0,573,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
105,1,1,0,1,1,0,0,1,0,0,1,1,1,3,1,2,4,2,2,1,1,1,1,1,3,4,1,3,3,3,2,2,3,3,5,4,4,4,2,5,3,4,5,3,5,5,5,5,5,5,5,2,5,4,2,4,4,2,2,2,4,3,4,3,7,134,3.083333333333333,0,246,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
227,1,1,0,1,1,0,1,1,0,1,1,1,1,4,3,4,1,3,3,5,3,3,5,1,1,3,1,5,1,1,1,1,1,1,3,1,2,3,3,3,3,3,3,5,5,1,5,1,1,1,5,3,1,1,3,1,5,5,5,5,3,3,5,5,5,266,1.8333333333333333,0,498,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
222,1,1,1,1,1,0,0,1,0,0,1,1,1,4,3,3,5,3,3,4,4,3,3,3,2,2,1,3,2,4,4,5,3,4,4,3,5,5,3,4,4,4,3,4,4,5,5,5,4,5,4,5,5,4,2,4,1,3,3,4,3,3,3,3,56,384,4.5,1,662,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
111,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,3,2,4,2,3,4,2,5,4,4,4,5,4,5,5,5,2,5,3,5,4,4,5,5,4,2,3,4,2,3,4,5,4,2,4,3,5,4,4,5,4,4,4,4,10,162,3.8333333333333335,1,283,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
162,1,1,1,1,1,0,1,1,0,0,1,1,1,6,3,4,4,4,4,4,4,2,3,4,4,4,3,4,4,3,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,4,4,5,4,3,4,4,4,3,4,4,5,236,3.6666666666666665,1,403,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,1,1,1,1,1,0,0,1,0,1,1,1,1,4,2,4,4,4,5,5,2,5,5,5,4,2,1,1,2,1,1,1,1,1,4,5,2,4,5,2,5,1,4,4,2,1,1,1,1,1,2,1,1,1,4,4,4,4,4,2,5,4,5,4,3,147,1.1666666666666667,0,253,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
128,1,1,1,1,1,0,0,1,0,1,1,1,1,3,3,5,5,3,5,5,3,3,4,3,2,3,2,2,3,2,5,5,3,5,5,5,5,5,5,5,5,4,4,4,3,3,4,5,4,5,5,5,5,4,5,4,4,3,5,5,4,4,3,5,5,172,3.6666666666666665,1,305,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
193,1,1,0,1,1,0,0,1,0,1,1,1,1,2,3,3,3,3,2,2,4,5,1,3,2,2,1,3,2,2,3,2,2,3,4,4,4,1,4,5,5,4,4,3,3,3,4,3,3,3,2,3,2,4,3,3,4,3,4,2,4,3,5,3,14,211,3.4166666666666665,1,418,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
290,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,4,2,1,2,2,3,2,4,1,2,2,2,1,2,2,3,3,1,1,3,4,1,2,3,2,2,3,3,3,3,2,5,2,3,3,4,3,4,1,4,4,5,2,4,5,5,4,5,5,3,308,3.1666666666666665,0,601,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
197,1,1,0,1,1,0,0,1,1,0,1,1,1,2,3,3,5,2,5,5,3,4,5,5,4,3,2,5,4,4,5,5,4,5,3,4,2,5,4,4,4,4,4,5,4,5,5,5,4,3,5,3,5,5,2,3,5,2,4,4,4,1,4,4,6,370,3.6666666666666665,1,573,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
213,1,1,0,1,1,1,0,1,0,1,1,1,1,4,4,1,2,2,3,2,4,2,4,2,3,5,4,4,2,1,3,4,4,3,4,3,3,4,2,4,2,4,3,3,4,2,4,2,3,2,5,4,4,4,2,4,4,4,4,2,4,3,4,4,10,208,3.583333333333333,1,431,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
247,1,1,0,1,1,0,1,1,0,1,0,1,1,3,4,3,2,2,2,2,1,3,4,1,2,3,2,4,4,2,2,3,3,4,4,3,2,3,4,3,3,4,4,3,5,5,3,4,4,4,4,5,4,4,2,4,4,5,4,4,4,4,5,5,30,200,3.083333333333333,0,477,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
133,1,1,1,1,1,1,0,1,1,1,1,1,1,2,3,5,4,3,3,3,3,3,4,3,1,3,1,3,2,2,3,3,3,4,5,4,5,4,4,4,4,3,4,3,4,4,3,5,2,4,5,4,4,4,5,4,5,4,3,5,4,4,3,3,13,199,3.1666666666666665,0,345,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
160,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,3,3,3,2,4,3,3,3,2,3,4,2,3,4,2,4,5,5,3,4,5,4,5,4,4,3,4,2,4,4,3,3,3,4,3,5,4,4,4,4,4,2,5,4,4,4,14,183,3.9166666666666665,1,357,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200,1,1,0,1,1,0,1,1,0,1,1,1,1,2,4,5,5,5,5,5,5,4,5,4,4,4,2,4,4,3,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,2,4,4,4,5,4,4,5,2,4,5,4,4,3,5,8,260,4.083333333333333,1,468,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
225,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,3,2,3,4,3,3,2,2,1,2,1,3,3,2,2,1,1,3,5,4,3,5,5,5,4,4,5,4,3,4,3,3,3,3,1,3,3,3,3,3,4,4,3,3,3,3,4,3,3,299,3.5,1,527,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
160,1,1,0,1,1,0,0,1,0,1,1,1,1,4,3,2,3,2,5,2,1,3,2,1,4,4,2,1,4,4,1,2,1,3,5,3,1,4,4,4,4,4,2,3,2,2,4,4,2,5,4,5,2,4,3,2,3,3,3,2,2,4,4,4,15,303,2.083333333333333,0,478,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
154,1,1,0,1,1,1,0,1,0,0,1,1,1,2,3,4,2,3,4,4,2,2,2,2,1,2,1,2,1,1,1,2,1,2,5,5,4,5,4,5,5,5,5,5,4,2,4,4,3,2,5,3,4,4,3,5,4,4,3,4,5,3,5,3,7,230,3.9166666666666665,1,391,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
87,1,1,1,1,1,1,0,1,1,1,1,1,1,4,5,5,4,4,5,5,5,5,5,5,5,4,5,4,5,2,2,2,2,3,1,4,2,2,2,2,3,3,2,5,4,3,5,3,1,2,3,2,4,3,5,5,4,4,4,4,5,4,4,4,34,94,2.75,0,215,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
359,1,1,0,1,1,0,0,1,0,0,0,1,1,3,2,3,4,2,4,3,4,2,1,4,4,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,5,4,5,5,4,4,3,4,4,3,5,4,3,4,4,69,812,4.083333333333333,1,1240,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
